Название;Сайт;Почта;Номер телефона;Адрес;Руководитель;Город
Лигал Арт ;http://legalart.ru/;info@legalart.org;74950664858;121099, город Москва, Шубинский переулок, дом 6 строение 1, комната 9;;Москва
"Юридическая Компания ""АНЖАНИ"" ";http://www.анжани.рф;anjany@yandex.ru;2552454, 2557151;Танковая,72 офис 51;Бортник Жанна Сергеевна;Новосибирск  
ESAP ;www.esaplaw.ru;esaplaw@esaplaw.ru;78 632 062 057;344018 Ростов-на-Дону, ул. Текучева, 139, оф. 17.17;Степанов Игорь Викторович;Ростов-на-Дону  
Legalgates, юридический лоукостер ;;;;;;Санкт-Петербург
"ООО ""Юрист-Гарант"" ";urist-garant.ru;urist-garant@bk.ru;4234470;г. Нижний Новгород, ул. Дьяконова, д. 34, оф.24;Суворова Юлия Андреевна;Нижний Новгород  
Мой ЮРИСТ ;;;83912880797;Красноярск,ул.Мате Залки, д.33 оф.144;Нематова Наталия Владимировна;Красноярск  
Доктрина Сибири ;www.instagram.com/doktrinasibiri;doktrinasibiri@yandex.ru;+73812 90 77 11;г. Омск ул. Маршала Жукова д.6;Кашеваров Антон Владимирович;Омск  
ООО Ампаро ;;oooamparo@yandex.ru;4852281300;ул. Первомайская;;Ярославль  
АВЕНТА Центр юридической помощи ;urcentr71.ru;urist@urcentr71.ru;79 531 979 730;г.Тула, проспект Ленина, д.79, офис 111, этаж 1;Баталов А.В. ;Тула  
Адонай ;;;;;;Красноярск  
ООО Юридическая областная служба ;http://pravo-48.ru/;pravo48@mail.ru;4742717038;Желябова,2,оф.218;Соколов Дмитрий Викторович;Липецк  
ЗАЩИТА ПРАВА ;;zashitaprava1@mail.ru;83842766704;г. Кемерово, ул. Соборная, 8-305;Маркова Лариса Валерьевна;Кемерово  
ООО НПК КОВИ-ЦЕНТР ;www.kovicenter@mail.ru;kovicenter@mail.ru;599002;Петрозаводск;Костин П.В.;Петрозаводск  
Первый Столичный ;;;;;;Уфа
Юридическая группа Капитал ;;625454@bk.ru;89 887 623 320;Новороссийск, Советов, 42 (БЦ Черноморский), оф. 247;;Новороссийск  
"Правовой центр ""Центурион"" ";centurion63.ru;expert_163@inbox.ru;89171608888;Самарская область город Самара улица Куйбышева дом 128 А офис 101;Абакумов Сергей Анатольевич;Самара  
"НП ""ДЕЛО и ПРАВО"" ";;;;;;Оренбург  
ЛЕГИСПРО ;;;;;;Санкт-Петербург
ЮРФИНАНС ;https://www.yurfinans.ru/;mail@yurfinans.ru;84 722 365 800;г. Белгород, ул. Пушкина, 49а, офис 110;Шеметов Леонид Юрьевич;Белгород  
"ООО ""Юридическое агентство ""Третий Рим"" ";;the3rim@mail.ru;79628226210;Барнаул, пр. Строителей, 43а;Ткачев В.В.;Барнаул  
Юрист У ;;;89527497244;;;Абакан
"ООО ""РИГОР ПРАВО"" ";http://zakon223.tilda.ws/;;;;Тюшова Анастасия Эдуардовна;Санкт-Петербург
ООО Вердиктум-НТ ;www.verdiktum-nt.ru;verdiktum-nt@mail.ru;8 3435 928291, 8 3435 920608;г. Нижний Тагил, Учительская 14а оф 2, Ленина 64  оф 810;;Нижний Тагил  
Нетдолгофф - Банкротство физических лиц ;https://forma-prava.ru/;info@forma-prava.ru;78 462 192 424;443045, г. Самара  ул. Гагарина, 82А;Стасенко Станислав Эдуардович;Самара  
Виктория ;;;;;;Астрахань  
Консалтинговая группа КД ;;;;;;Москва
Юридическое сопровождение ИП Гусева М. Ю. ;;;+7 383 3884409, +7 383 3884829;Россия, Новосибирск, ул. Гоголя, д. 38;;Новосибирск  
Закрой кредит ;? ЗАКРОЙ КРЕДИТ ЛИЧНЫЙ КАБ;;89339319190;ул Балтийская 13;;Барнаул  
Legal Services ;Legal23.ru;legal-23@yandex.ru;88 612 901 155;г. Краснодар, ул. Севастопольская, 2/3;Коржов Николай Николаевич;Краснодар  
Правовое Агентство БЕЛАЯ СОВА ;79258983734   746807180;pabelayasova@yandex.ru;74 951 151 501;Москва;Алексей Алексеев;Москва
VIP-жалоба на приговор ;https://жалоба-на-приговор.рф;panfilov7777777@yandex.ru;79373378201;г. Уфа, ул. Жукова 1/2, оф. 11;Панфилов В.В.;Уфа
Партнер 66 ;https://www.partner66.com;partner66@partner66.com;73 432 896 001;ул. Радищева 33, Бизнес-Галерея, оф. 8 (вход со стороны ул. Сакко и Ванцетти, напротив ЗАГСа);;Екатеринбург  
Адвокатское бюро ;;;;;;Москва
Токарь Ольга Александровна ;;;;;;Нижний Новгород  
Семь Юристов ;7юристов.рф;677627@bk.ru;83 532 677 627;Салмышская 54/1, 3.эт, офис-7;Узбеков Руслан Салаватович;Оренбург  
Аргумент ООО ;roa858;center1994@mail.ru;83912088630;660098, г.Красноярск, ул. Водопьянова, 22;Ростовцева Оксана Александровна;Красноярск  
"ООО ""ЮА ""Канон"" ";kanon32.ru;32advokat@mail.ru;84 832 522 311;241013, г. Брянск, ул. Ульянова, д.103а, офис 207;Коломоец Галина Анатольевна;Брянск
Взыскание Долгов ;ooogkamt   http://vziskaniedolgov.ru;info@vziskaniedolgov.ru;74996538783;115193, РФ, город Москва, улица Петра Романова, дом 14, стр. 1;Тараненко Максим Анатольевич;Москва
"Юридическое агентство ""Консул"" ";;konsul-kmv@list.ru;1,5848E+11;357202 Ставропольский край г. Минеральные Воды, пр. К. Маркса 64/1;Михайлов Вадим Константинович;Пятигорск  
SamoyLaw Company ;samoylaw-company.ru;;;;Самойлов Дмитрий Андреевич;Набережные Челны  
Юридическое бюро Милосердова О.В. ;юрбюро-орел.рф;;79102699872;302002, г. Орел, ул. Советская, 23;Милосердов Олег Викторович;Орёл  
Сателлит-Консалт ;satellit-consult   http://www.satellit-consult.ru/;2993769@ngs.ru;3 832 993 769;Новосибирск ул. Карла Либкнехта, 125;;Новосибирск  
Центр Защиты Прав Приволжский ;www.yuristnn.com;czp-privolzhskiy@mail.ru;4242344;Нижний Новгород, ул.Гордеевская, д.7, оф.206;Коврижин Максим Алексеевич;Нижний Новгород  
Деметра Груп ;https://demetra-group.ru/;dvm34@mail.ru;79627601521;г. Волгоград, ул. Бахтурова 10б;;Волгоград 
АВС-Юр Юридический центр ;http://uristzdes.ru/;abc-ur@bk.ru;366669;г. Иваново ул. Богдана Хмельницкого дом 60;Константинов А.О.;Иваново
"Патентное бюро ""Первоисток"" ";https://первоисток.рф;rewrite1istok@yandex.ru;74991131674;г Москва, ул Орджоникидзе, д 11;дубок Александр Анатольевич;Москва
Averi ;;;;;;Екатеринбург  
 Максимум ;http://www.slawyer.ru;slawyer-max@yandex.ru;2417146;г. Ростов-на-Дону, ул. Троллейбусная, д. 24/2 В  оф. 318;Кромская А.В.;Ростов-на-Дону  
"ООО ""КОРСА"" ";;;;;;Иркутск  
"""Деловая цель"" ";https://bussinesplatforma.lkr112.ru;;;;Венедиктова Альбина Владимировна;Каменск-Уральский  
Межотраслевой центр ;;;;;;Курган  
Коллегия автоюристов Самары ;;lawor@inbox.ru;78462216126;443087, Самара, Карла Маркса проспект, 360А, 2 этаж, офис 33/1;Лезин Алексей Владимирович ;Самара  
центр правовой поддержки ;https://predstavitel124.ru/;2885599@mail.ru;73 912 885 599;г. Красноярск, ул. Андрея Дубенского дом 4 офис 312;Юрченко Мария Витальевна;Красноярск  
Ювес ;;yuves.limited@gmail.com;79617441614;"город Абакан, ул. Ленина, д. 70 ""А"", офис 203";Ермак Дмитрий Александрович;Абакан
"ООО ""ЮК ""Право-Плюс"" ";pravoplus_belovo   http://www.pravoplus42.ru/;pravoplus@gmail.com;"8 38452 24667; 63344.";Кемеровская область г. Белово, ул. Ленина, 8;Таргоний Анна Андреевна;Новокузнецк  
"""ПАРТНЕР"" ";https://www.law-partner.ru/;info@law-partner.ru;84 991 892 370;г. Москва ул. Енисейская д.2 стр. 2 офис 707;Каменева Ольга Николаевна;Москва
"ООО Юридическая фирма ""ЮНА"" ";;yna.00@mail.ru;89515058787, 89014969926;"г. Ростов-на-Дону, ул. 50-летия Ростсельмаша, д. 2-6/22, Бизнес-центр ""Форум 2"" офис 806";Вашина Наталья Николаеевна;Ростов-на-Дону  
КонсультПраво ;;;;;;Шахты  
Эверкон ;http://evercon.ru/;;;;Наталья;Москва
ВИГ-БИЗНЕСКОНСАЛТИНГ ;http://vigbc.com/;marketing@urenergo.ru;74952367338;Москва, ул. Хавская, дом 3;Гарамита Валерий Иванович;Москва
"Центр юридических услуг ""ЮРАКС"" ";http://jurax.ru/;info@jurax.ru;т.+79276090216 т.+78469900185;г. Самара, ул. Карбышева 61 В, офис 205;Приставко Антон Сергеевич;Самара  
БДК ;;;;;;Ставрополь  
Правомед ;www.pravomed18.ru;pravomed2014@yandex.ru;83412573067, 89828360555;Ижевск, ул. 40 лет Победы 142б, офис 25;Кочуров Александр Михайлович;Ижевск  
ООО Юридическая фирма ЛЕРО ;;leross@rambler.ru;89028295350;629300, г. Новый Уренгой , ул. Юбтлейная д. 5.;Скоробогатова Светлана Сергеевна;Новый Уренгой  
"Kalinin &amp; Partners ";;;;;;Екатеринбург  
"Юридическое агентство ""Доверие"" ";;femida-k@inbox.ru;4812315522;г. Смоленск, ул. М. Соколовского, д. 10, 51;Анна Андреевна;Смоленск  
"Юридическая фирма ""Виктория"" ";;rrr197@mail.ru;89177856066;г. Стерлитамак, ул. 7Ноября,д.3, каб.2;Ufkbtdf H/H/;Стерлитамак  
ИП Зиганшин Р.Р. ;rustik713   www.zdetego.ru;;2537501;ул.Мавлютова 14;Зиганшин Рустем Рашитович;Казань
Юридический Центр ;юцентр.рф;;8 800 333 26 05;ул. Московская 80;;Орёл  
Бровкин и Ко ;;;;;;Тольятти  
"Юридическое агенство ""Нэоплан"" ";нэоплан.рф;neoplan@mail.ru;89242749009;г.Чита, ул.Вокзальная, 3 оф.18;Корженко Н.Н.;Чита
ООО Свердловский центр юридической помощи ;;;7 343 239 40 57;г. Екатеринбург, Студенческая улица, дом 1, офис 201а;;Екатеринбург  
"ООО ""премиум ДеЮр"" ";http://urfirmaspb.ru/;9995079@mail.ru;79219995079;Санкт-Петербург, ул. Варшавская, дом 9, корп. 1, пом. 31Н;Федорова Яна Анатольевна;Санкт-Петербург
Закон и право ;юристбухгалтер73.рф;zakonprav73@ya.ru;79033392374;ул. К. Маркса д.17, оф. 7;Шароватов Дмитрий Викторович;Ульяновск  
"""Содействие"" ";http://sodeistvie166.ru/;;83 822 348 428;Россия, Томская область, г. Томск, пр. Ленина, д. 159;;Томск  
Mitsan Consulting ;www.mitsan.pro;info@mitsan.ru;78124080879;Санкт-Петерург, ул. Софийская, д. 14, оф. 316;Желнин Дмитрий Александрович;Санкт-Петербург
"Юридическая фирма ""Доверие"" ";https://vk.com/doveriekr.baki;"? ЮРИДИЧЕСКАЯ ФИРМА ""ДОВЕРИЕ""";"8 9503564507; 8 9043934060";Нижегородская область, р. п. Красные Баки, ул. Свободы, д.88;Зайцева Мария Александровна;Нижний Новгород  
Твой Юрист ;;;;;;Нефтекамск  
ООО Бизнес-Град ;;;;;;Нижний Новгород  
Право 24 - Мициева и Гильманов ;;;;;;Самара  
Агенство Антигуа ;;;;;;Ярославль  
"ООО ""Компания +"" ";company-plus   company-plus.com;dtpufa@mail.ru;73472923825;Уфа, ул.Бакалинская 52;Пашин Андрей Юрьевич;Уфа
АЛТАЙ ТЕНДЕР ГАРАНТ ;;ney2201@yandex.ru;89059862538;ПОПОВА 188;ЯКОВЛЕВА НАТАЛЬЯ ЕВГЕНЬЕВНА;Барнаул  
Цивилист ;;;;;;Барнаул  
"Юридический центр ""Правовой Мир"" ";;;;;;Санкт-Петербург
"""Виктор"" ";;;;;;Йошкар-Ола  
"ООО ""КЦ ""Эксперт-С"" ";ex13.pro;;78342318531;;;Саранск  
"ООО ""Агентство ""Эксперт"" ";----   ----;chelny_expert@mail.ru;353776. 89372947289;14.апр;Миронычев Г.В.;Набережные Челны  
АВТОЮРИСТ ;617106086   avtourist.info;avtourist3513@mail.ru;89227537373;Скворцова, 18;;Златоуст  
Pravo - Просто ;на доработке;Y.Maxim@pravoprosto.com;89505115898;г. Казань, ул. Пушкина 30;Трошихина Мария Александровна;Казань
ГАРАНТ ПРАВ ;http://garant-prav.ru/;nmp34@yandex.ru;89370982979;г. Волгоград ул.Комсомольская 4 оф 1;Золотарев Виталий Викторович;Волгоград 
Налоговый советник ;https://sovetnalog.ru/;info@sovetnalog.ru;73 452 513 613;Комсомольская 8;Екатерина Викторовна Власова;Тюмень  
"ООО""Партнёры"" ";http://zakonvmsk.ru/;zakonvmsk@mail.ru;84 956 643 540;г.Москва, Площадь Журавлева, д.10, стр.3, офис 327;Саидмурадов Марк Гафурович;Москва
"Интернет ресурс ""Семейное право"" ";razvod24.ru;;;;;Москва
Юридическое агентство «Профессор» ;http://professor24.ru/;krsn@yandex.ru;83 912 716 181;г. Красноярск, ул. Батурина 20 (вход со стороны Молокова);Скирда Елена Геннадьевна;Красноярск  
"Юридическое агентство ""Юстиция"" ";justitia-krd.com;justitia-krd@bk.ru;2431491;г. Краснодар, ул. Кузнечная, 39а;Басов Михаил Константинович;Краснодар  
Мазер Групп ;mazer.pro   mazer.pro;mazer.dv@mail.ru;+7423 2 911 536;Уткинская 5;Тулубенский Евгений Константинович;Владивосток  
Приоритет ;;;;;;Казань
ПРАВОВАЯ ПОДДЕРЖКА Зубатовой Т. ;www.law-support.org;law-office@mail.ru;"347535; 384795";г. Калининград, ул. Пражская, д. 7/1;Зубатова Татьяна Геннадьевна;Калининград  
"ООО ""БИЗНЕС АГЕНТСТВО ""БАЗИС"" ";www.bazissurgut.ru;yurist.potanina@mai.ru;79 227 970 478;ул.Маяковского, 12А, офис 303;Потанина Елена ;Сургут  
Центр Правовых Технологий «ЮРКОМ» ;;;;;;Саратов  
Компания Юрист Плюс ;http://yuristplyus.ru/;YuristPlyus@yandex.ru;83822502290, 505590;Томск, пр. Фрунзе 240 Б 2-й этаж;Сыртланов Сергей Ринатович;Томск  
"Бюро судебной защиты ""ВАШ ЮРИСТ"" ";www.911pravo.ru;911pravo@list.ru;391 2939191  2279696;г. Красноярск, ул. Сурикова, 12;ТРЕЗУБОВ Дмитрий Георгиевич;Красноярск  
ИП Наймушина Н.А. ;;presnat@yandex.ru;89026367785;г.Пермь, Шоссе Космонавтов, д.252, оф.226;Наймушина Наталья Александровна;Пермь  
ПРАВОВАЯ ПОМОЩЬ плюс ;;moydrug1979@mail.ru;79130500859;г.Абакан, ул.Чертыгашева, 126, офис 12;Чиркова Светлана Владимировна;Абакан
ООО Альтернативное решение + ;;;89612413428;Барнаул ул.Смирнова 100в;;Барнаул  
Концент ;concent.pro;2012166@bk.u;73432012166;Блюхера 58;;Екатеринбург  
Мегаполис ;;;;;;Москва
Dali consulting group ;;;;;;Волгоград 
Юридком ;https://uridcom.ru;uridcoms@mail.ru;89030363434;г. Тула, ул. 9 Мая, д. 16, офис 219;;Тула  
Правовые решения ;;prav-resheniya@mail.ru;+7342 2785721, +79223776546;614000, г. Пермь, Комсомольский пр-т, д. 34Б, 3 этаж, оф. 13;;Пермь  
"Правовой центр ""Советник"" ";proffadvokat.ru;sovetnikkrd@yandex.ru;89898210979;ул. Карасунская, 180;Сергей Валерьевич П.;Краснодар  
Юридическая контора Щуцкой Е.А. ;;;;;;Нижний Новгород  
Уголовные дела  Прогресс-М ;;;;;;Москва
"ООО ""Техническая инвентаризация"" ";;;89243984868;ул. Борсоева, 13;;Улан-Удэ  
"""Гарант"", Юридическая фирма, ООО ";;ufgarant@eandex.ru;89033476816;Украинская,3, строение В3;Воронин Альвиан Григорьевич;Астрахань  
Технология Права ;https://tpravovl.ru/;;89025568647;г. Владивосток ул. Светланская д.83 оф.312;Исаев Роман Сергеевич ;Владивосток  
ИП Неня А.В. ;nenya26101980;advokat391@yandex.ru;89082216749;660005 г. Красноярск Ул. Краснодарская 26-7;Неня Анна Викторовна;Красноярск  
"ООО ""Поволжский центр юридической помощи"" ";;povolgskiicentr@mail.ru;78452230552;ул. Зарубина, дом 53/57;;Саратов  
"Агентство ""Урал Недвижимость"" ";;;"83513551313; 546040";"г.Миасс, ул.8 Марта,д.150; пр. Макеева,д3";Бердников Владимир Викторович;Миасс  
ООО Коллегия Юристов №1 ;;;;;;Самара  
ЮрКонсалтГрупп ;;;;;;Москва
ПРОЗАЩИТА ;pro-zashita.ru;prozashita.ufa@mail.ru;79608002227;Уфа, ул. Коммунистическая, д. 120/1 к6;Сатаев А.З.;Уфа
БПУ ООО Недвижимость и Закон ;Kzn-urist.ru;2590502@mail.ru;78 432 122 012;г. Казань Ул. Авангардная дом 155;Нуриева Лилия Наилевна;Казань
"ООО ""Ваш партнёр"" ";;;;;;Улан-Удэ  
Центр ;;;;;;Калининград  
"""Верное решение"" ";;v.pravo90@mail.ru;79158280036;г. Иваново, ул. Громобоя, д. 13, оф. 601;;Иваново
Бизнес Мудрость, ООО ;http://biznesmudrost.ru/;brand1@biznesmudrost.ru;79049228488;Московское ш. 85;Михайлов М.Е.;Нижний Новгород  
ООО Калининградский центр правовой защиты ;http://spz39.ru/;;79 114 565 007;ул. Космонавта Леонова д.62/64;;Калининград  
"Юридическая фирма ""Адвокат"" ";www.zakon23.ru;zonazakona23@mail.ru;79883307806;г.Краснодар, ул.Красных Партизан 210;;Краснодар  
Агентство кредитной безопасности ;AKB-samara.ru;Aakb@yandex.ru;89277484133;Ново-Садовая 182;Скворцов Дмитрий Геннадьевич;Самара  
"ООО ""ABK"" ";;;;;;Москва
ооо Виктория ;;511565@mail.ru;79009029282;Рязань ул. Чкалова 33 а;Шувиков Дмитрий Станиславович;Рязань  
"ООО ""Компания оценки и права"" ";pravo-ocenka.ru;ryazan@pravo-ocenka.ru;512336;г. Рязань, ул. Николодворянская, 18 офис 15;;Рязань  
Адвокаты Быстровы ;https://адвокат-быстров.рф/;;89377000483;Волгоград, ул. Чуйкова, д. 11;;Волгоград 
"Юридическое бюро ""Фортуна"" ";;ooo_fortuna.abakan@mail.ru;8 923 393 71 77;Абакан. ул. Вяткина, д. 18, офис 5;Вышкварок Александр Владимирович;Абакан
"ООО ""ЖС"" ";;;;;;Москва
Межрегиональная Юридическая Коллегия ;http://yur-kollegiya.ru;yur-kollegiya@yandex.ru;74993942434;Москва, ул. Большая Переяславская, д. 14, стр. 1;;Москва
Юридические услуги, Кажаев А.В. ;http://авто-юрист-самара.рф;auto-jurist@list.ru;79 270 090 598;г. Самара, ул. Карбышева 63Б, офис 701;Кажаев Алексей Васильевич;Самара  
А-РИЭЛТ, юридическая компания ;www.yurist-orenburg.ru;al-exus@yandex.ru;83 532 921 292;Оренбург, Шарлыкское шоссе, 1    Бизнес-центр «Свой дом», здание Сбербанка, офис 110;Алексей Зазуля;Оренбург  
Legalexpert24 ;legalexpert24   https://legalexpert24.ru;info@legalexpert24.ru;7 495 128 78 13;Москва, ул. Кутузова, д.11 корп. 3;;Москва
Севконсалт-Групп ;sevconsulgroup   http://sevconsult.com;sevconsultgroup@mail.ru;79787443011;Севастополь, ул. Кулакова, 86;Илья Юрьевич;Севастополь  
"ООО ЮК ""КОДЕКС"" ";;;83 452 500 228;г. Тюмень, ул. Дзержинского, 15;Кушнарева Марина Владимировна ;Тюмень  
"ООО ""Финанс-Плюс"" ";бухгалтерские- услуги31.РФ;fin.plus@inbox.ru;89040857827;ул.Мичурина ,дом62А;Ломаченко Л.М.;Белгород  
ЭКСПЕРТ ;http://www.expert-net.ru;ooo.agned.expert@gmail.com;"89093936362;  89610737365";г. Волжский ул. Московская  д. 3 оф. 20;Мажурин Юрий Геннадьевич;Волжский  
Цент правовой помощи ;;azarov.adaev@yandex.ru;1,58544E+11;г. Уфа, ул. 50 лет Октября, д. 15, офис 4;;Уфа
Консультационно-правовой кабинет ;www.facebook.com/oooreferent/;;3 902 320 231;Республика Хакасия, город Абакан, улица Торосова дом 14;;Абакан
"ООО ""Экспертно-правовая группа"" ";www.expertpg.ru;expertpg@bk.ru;2288343, 2384455.;г.Воронеж, ул.Пушкинская д.39, оф.7.;Аракелов Анатолий Владимирович, Сигарев Вячеслав Анатольевич.;Воронеж  
Регистрационное бюро Содействие ;;;;;;Калуга  
Талион - Юридические услуги ;http://urist.kem-talion.ru/;;;;;Кемерово  
Правовое содействие ;;;;;;Новосибирск  
"ООО ""ЛичныйЮрист86"" ";ЛичныйЮрист86.рф;office@urist-ugra.ru;73 466 574 991;улица Дружбы Народов, дом;Федотов Николай Николаевич;Нижневартовск  
"МОО ЗПП ""БЛОК-ПОСТ"" ";http://www.bloc-post.ru;2992122@mail.ru;89875905300;г. Уфа, ул. Первомайская, д. 29 (цокольный этаж, вход с улицы);;Уфа
PRAVO ;spbpravo-rf.ru;info@spbpravo-rf.ru;88124544044;наб. Канала Грибоедова, д. 130, офис 420;Морозов Константин Викторович;Санкт-Петербург
Агентство юридической помощи ;;;89080782599;Магнитогорск Ленина 126;Сергеева Ольга ;Магнитогорск  
"Юридическая группа ""Praesidium"" ";;;;;;Симферополь  
"ООО ""Уфимский правовой центр"" ";pravoufa.jimdo.com;8769m@rambler.ru;89876219340;г. Уфа, ул. Кремлевская, 28, корп.3, офис 323;;Уфа
"""Зубов. Деньги"" ";http://vzubov.ru/;mail@vzubov.ru;88 452 492 069;Саратов, Челюскинцев, 103 (своя автостоянка);Зубов Вадим Васильевич;Саратов  
"Бизнес-Юрист (ООО ""Румайлекс"") ";RUMILEX   www.rumilex.ru;;;;Сергей Владимирович;Москва
Лига Справедливасти ;;;;;;Москва
"Компания ""Патронус"" ";;;;;;Иваново
ЮРСИЛА ;;;;;;Москва
Успех ;www.юрист-воронеж.com;;84732294855;Воронеж, ул, Фридриха Энгельса, 64А, 7 этаж, офис 13/4;;Воронеж  
"SION &amp; Partners Law Firm ";ivaniutin   https://sionlf.com;iutin.ivan@gmail.com;79 265 280 540;ул. 2-ая Рощинская, д. 4 Москва, 115191, Россия;Иутин Иван Геннадьевич;Москва
Правовая Столица ;;;;;;Санкт-Петербург
ПАЛАДИН ;https://paladin-57.ru/;paladin-57@yandex.ru;79038811121;г. Орел, ул. Ломоносова, д.6Д офис 104;Ишин Максим Игоревич;Орёл  
Информационно-технический центр ;;itechc@mail.ru;79620455500;644033,г. Омск, ул. Долгирева д.17 к.27;Гусаров Юрий Александрович;Омск  
"Юридический Центр ""Сила Закона"" ";http://сила-закона-воронеж.рф/;SilaZakona36@yandex.ru;2324882  Бесплатный юрист;г.Воронеж, ул.Средне-Московская,31;;Воронеж  
ООО ЮР-ПРОФИ ;www.zakon32.bryap.ru;advokat@zakon32.ru;"89100344224; 4832344224";г.Брянск,ул.Красноармейская,д.156А,офис 21;Финина Л.Ф.;Брянск
"Юр. агентство ""ТатФемида"" ";www.tatfemida.ru;tatfemida@mail.ru;78 432 589 085;г. Казань, ул. Короленко, д.17;;Казань
"Консультационно-правовой центр ""Юстинов"" ";www.justinov27.ru;kpcustinov@gmail.com;74212981098;г. Хабаровск, пер. Спортивный, д.4 литер А, оф. 402;Нечаев Сергей Сергеевич;Хабаровск  
"Правовой консалтинговый центр ""Аспект"" ";Www.pcaspect.ru;Aspect-aspect@bk.ru;88463383805, 88462750606, 89376406040;Самара, ул. Чернореченская, д. 50, оф. 205;;Самара  
Воронежская Юридическая Компания ЛИНИЯ ПРАВА ;;lakbur@mail.ru;79 601 309 900;г. Воронеж, ул. Желябова, д. 46, нежилое встроенное помещение № 3, в Литере А;Компаниец Мария Викторовна;Воронеж  
Советник ;http://адвокат-в-тольятти.рф;sovet163@bk.ru;79272686501;40 лет Победы, 65Б.;Кормишов Альберт Валериевич;Тольятти  
"ООО ""Центр выплат. Страхование"" ";;lloid77@mail.ru;8 962 005 05 15;г. Ставрополь, проспект Кулакова 12 б, оф. 409;;Ставрополь  
Алтайский Правовой Центр ;altaiski.ru;altaiski@bk.ru;73852533755;"Барнаул, ул. Пионеров, д. 11""Д""";Дибровенко Валентин Валерьевич;Барнаул  
Кадастр и Недвижимость ;http://kadastr-krasnodar.ru;oookadastr23@yandex.ru;89184949717;г. Краснодар, ул. Рашпилевская,14;Ассакалова Яна Суреновна;Краснодар  
"ООО ""Lion Lawyers"" ";https://topinfo.pro;tula@topinfo.pro;79207986203;г. Тула, ул. Первомайская, д.35, оф .0.3;Эшбаев Оскар Наильевич;Тула  
"ООО ""Собственная безопасность"" ";;;;;;Уфа
Закон.Права ;https://zakon-prava71.ru;volkovazhannatula@mail.ru;79207830309;город Тула, проспект Ленина, д. 59/81;Волкова Жанна Александровна ;Тула  
"ЮФ ""Защита Ваших Прав"" ";;;79278128242;432071, г.Ульяновск, ул. Гончарова, 31/1, офис 309;Ломакин Алексей Владимирович;Ульяновск  
Статус Права ;hebel30   492312339   statusprava.com;office@statusprava.com;78 129 356 194;Санкт-Петербург, Митрофаньевское шоссе, 2/2;Гебель Сергей Иванович;Санкт-Петербург
"ООО ""Альфа-Групп"" ";;;79 603 725 996;г.Ульяновск, ул.Гончарова, 33/2;Кузнецов Владимир Александрович;Ульяновск  
"ООО ""Law House"" ";lawhouse24   www.law-profi.ru;info@law-profi.ru;79996338191;г. Краснодар, ул. Красная, 167/1а;;Краснодар  
New Point ;https://new-point.bz/services/yuridicheskie-uslugi/;lawnewpoint@yandex.ru;79501865552;Россия;Оксана;Оренбург  
"""Си/Эйч/И Групп"" ";https://che-group.su;che-group@yandex.ru;79 786 586 888;г. Симферополь, бул. Ивана Франко, д.6 (эт. 2, оф. 21, 22, 23);Чепрасов Валентин Владимирович;Симферополь  
Экспертно-Правовой Центр ;;epc354435@mail.ru;"89196260202; 89196464435";"РТ, г. Альметьевск,ТЦ ""Шифа""  пр. Строителей д.10 а, 3 этаж, 5 офис";Кузнецов Евгений Александрович;Альметьевск  
GBA ;gba.ru;info@gba.ru;74 952 252 298;Ул. Малая Пироговская, д.14, стр.5, Москва, Россия, 119435;;Москва
АА-Центральная Юридическая ;www.kem-consult.ru;kem-consult@mail.ru;83842 335855, 764410;г. Кемерово, ул 50 лет Октября -11;Антон Викторович;Кемерово  
"ООО ""Практик"" ";472646020   http://praktik67.ru/;smpraktik@mail.ru;84812605010;г. Смоленск, пр-т. Гагарина, д.  22, оф. 448;Силин Андрей Александрович;Смоленск  
Dubravin and Parthers ;;;;;;Москва
"ООО ""АБАРИС"" ";право174.рф;weeler@yandex.ru;83512338755;г. Челябинск, ул. Обухова, 13;Колесников С.И.;Челябинск  
Коллегия адвокатов г. Москвы № 3 г.Москва;https://mka-3.ru;kam-3kollegia@yandex.ru;84951340394;129085, Москва, проспект Мира, 81;Гладилин Эдуард Викторович;
Юридическое Бюро ;;liy-k@yandex.ru;79130908601;ул. Папанинцев, д. 116, каб. 2;Бахтина Лия Владиславовна;Барнаул  
1000 Адресов ;;;;;;Москва
"ЮК ""Правовая защита"" ";http://pzrzn.ru/;500789@pzrzn.ru;74912500789;г. Рязань, ул. Павлова, д.29, оф.9;Гришин Дмитрий Владимирович;Рязань  
"ООО Консалтинговая группа ""АРТЭ"" ";www.consulting66.ru;arte2008@bk.ru;79 090 002 677;г. Екатеринбург, ул. Фронтовых бригад, д.15;Малеваная Ольга Юрьевна;Екатеринбург  
"Адвокатская компания ""Априори"" ";;ak-apriori@bk.ru;89054250550;город Шахты, улица Карла Маркса, 63;;Шахты  
Свой Юрист ;;;;;;Пенза  
"ЮФ ""С.Матвеев и партнеры"" ";www.matveevandco.ru;asovetnik@mail.ru;2774438;Советская, 39А-1;Матвеев С.Н.;Пермь  
"""Деловой Крым"" ";bapb14   d-crimea.ru;info@d-crimea.ru;79787413941;Республика Крым, г. Симферополь, пр. Кирова 34д, офис 3;Буяков Максим Александрович;Симферополь  
Центр юридической помощи ;www.pravocentr21.ru;pravocentr21@yandex.ru;88 352 373 102;Урукова, д. 16, офис 218;Иванов Евгений Николаевич;Чебоксары  
