Название;КПП;Сайт;Категория;ИНН;Почта;Адрес;Телефон;ОГРН
Техногрупп Белгород, ООО;310201001;;Машиностроительные заводы;3102049610;tech-grupp@yandex.ru;Белгород(Белгородская область);+7 910 365-08-78 ;1213100000000
Электро, ООО;370201001;www.ivelektro.ru ;Светотехнические заводы;3731000315;sale@ivelektro.ru;Ивановская область, Иваново, ул. Ташкентская, 104;+7 (4932)23-46-63 ;1023700000000
Астрал, ООО;250801001;;Заводы металлоконструкций;2508005980;astral_nakhodka@mail.ru;Находка, ул. Шоссейная, 142; (4236)69-85-66, 60-50-30,(4236)69-85-67 (факс);1022500000000
Сибшванк, АО;720301001;www.schwank.ru/?lang=ru ;Машиностроительные заводы;7202067917;sale@schwank.ru;625031 Тюмень, Ветеранов Труда, 60 стр. 3;+7 (3452)38-88-60 ;1027200000000
Orientir Sweet Москва;;orientir-sweet.ru ;Керамические заводы;;info@orientir-sweet.ru;Москва, ул. ш. Щелковское, 2А;+7 (495)178-04-97 ;
Кировский Завод, ПАО;780501001;www.kzgroup.ru ;Тракторные заводы;7805019279;info@kzgroup.ru;Санкт-Петербург, пр. Стачек, 47;+7 (812)702-01-02 ;1027800000000
Пластик ПО, ООО;163901001;oknaplastik.com ;Заводы полимерных материалов и изделий;1639041193;info@oknaplastik.com;Республика Татарстан, Набережные Челны, пр. Сююмбике, 43/16, офис 67;7855184;1091680000000
Олимп Плюс, ООО;524901001;;Другие производители;5249165803;rekkonsult@ya.ru;Нижегородская обл, г. Дзержинск;-1259;1195280000000
Павлово-Посадский Шелк, ООО;503501001;www.sholk.ru ;Трикотажные фабрики;5035022477;info@sholk.ru;Павловский Посад, ул. 1 Мая, 105; (49643)2-51-87 ;1025000000000
Полипласт, ООО;602701001;www.galvanica.ru ;Заводы полимерных материалов и изделий;6027001860;kav@galvanica.ru;Псков, пр-кт Октябрьский, 50;+7 (8112)66-36-50 ;1026000000000
Казаков Евгений Викторович, ИП;;MariMebel.ru ;Мебельные фабрики;1,21E+11;saunamari@ya.ru;Республика Марий Эл, Йошкар-Ола, Митькино, д. 7;79276814086;319122000000000
Виканов Владимир Вадимович, ИП;;detizim.com ;Швейные фабрики;4,72E+11;infodetizim@ya.ru;Ленинградская область, Санкт-Петербург, Санкт-Петербургское шоссе, д. 40;+7 (812)607-75-59 ;307472000000000
"ООО ""ТАНТАЛ-Д""";772101001;tantal-d.ru ;Другие производители;7721165227;tantald@yandex.ru;пос. Красково, Люберецкий район, МО;79268499946;1037740000000
Томский Трикотаж, ЗАО;701701001;tomtrik.ru ;Швейные фабрики;7021000950;tomtrik.zakaz@mail.ru;Томская область, Томск, пр. Академический, 2/1;7036;1027000000000
Меза Москва;;www.meza.ru ;Производители галантерейных изделий;;meza@meza.ru;Московская область, Москва, ул. Пилота Нестерова, д. 5;+7 (495)656-09-54 ;
Костагрупп, ООО;583601001;kostagroup.ru ;Машиностроительные заводы;5836664275;info@kostagroup.ru;Пензенская область, Пенза, ул. Кураева, д. 49в;+7 (800)707-2640 ;1145840000000
Дельта+, ООО;732801001;kitchen-delta.ru/ ;Мебельные фабрики;7328512852;contact@delta73.ru;Ульяновская область, Ульяновск, ул. Академика Павлова, д. 95а;7842057;1087330000000
Монтем, АО;770501001;www.montem.ru/ ;Текстильные фабрики;7705004600;zakaz@montem.ruinfo@montem.ru;Москва, Подольских Курсантов, дом 15;8 495-384-55-55, 8-495-384-56-05 ;1027700000000
ООО «Морган Миллс»;503401001;morgan-mills.ru ;Швейные фабрики;5034058826;info@morgan-mills.ru;142600, Московская область, г. Орехово-Зуево, ул. Ленина, д. 84, этаж 3;8 (495) 651-85-58 ;1205000000000
Бурятзолото, ПАО;32301001;buryatzoloto.ru/ ;Добыча драгоценных металлов;323027345;buryatzoloto@nordgold.com;Республика Бурятия, Улан-Удэ, ул. Шаляпина, 5В;+7 (3012)48-02-00 ;1020300000000
Римера-АЛНАС, ООО;164401001;www.alnas.ru ;Насосные заводы;1644091030;info@rimera.com;Республика Татарстан, Альметьевск, ул. Сургутская, д. 2;+7 (495)981-01-01 ;1171690000000
ВХЗ, ЗАО;470201001;;Химические заводы;4702000425;nevotrd@mail.ru;Волхов, пр-кт Волховский, 17; (81363)2-35-34,(81363)2-69-21 (факс);1024700000000
Рико Дистрибьюшн, ООО;775101001;brill-cafe.ru ;Производители бакалеи;7728630515;track+39472476@brill-cafe.ru;Московская область, Москва, Киевское шоссе, дом 1;7499264;1077760000000
ВКМ, ООО;312801001;vkm1297.business.site/?utm_source=gmb&utm_medium=referral ;Ремонтные мастерские;3128051734;vkm20@mail.ru;Белгородская область, г. Старый Оскол, проезд М-4, № 6;+7 (472)546-92-73 ;1053110000000
"ПКФ ""Проксима"", ООО";614001001;proksima.ru ;Молочные заводы;6140015343;td@proksima.ru;Ростовская область, Азов, Кагальницкое шоссе, 7;+7 (86342)6-76-95 ;1026100000000
Текстильная фабрика Заря Москва;;;Текстильные фабрики;;info@opt700.ru;Москва, Строченовский пер., 4с1;8-495-137-08-13 ;
Формула, ООО;505301001;florcom.ru ;Механические заводы;5053043991;sales@florcom.ru;Московская обл., г. Москва, ул. Пришвина, д. 8, офис 420;+7 (499)302-35-59 ;1175050000000
"ООО ""АЛБ Групп""";;albnn.com ;Машиностроительные заводы;5261099120;sales@albnn.com;Москва, Духовской переулок, д. 17, оф. 12А;+7 (495) 769-38-97, +7 (831) 410-85-25 ;1155260000000
"ООО УК ""Чайковский текстиль""";;textile.ru ;Текстильные фабрики;7722598985;info@textile.ru;617763, Пермский край, г. Чайковский, ул. Речная, д.1;+7 (495)745-09-12 ;1077750000000
Славянка Текстиль, ООО;332801001;slavyanka.su ;Швейные фабрики;3308000802;slavyanka@slavyanka.su;Владимирская обл., г. Владимир, ул. Электрозаводская, д. 1;+7 (4922)42-31-57 ;1033300000000
Лумпов Дмитрий Николаевич, ИП;;;Заводы металлоконструкций;4,30E+11;izmajlova93@mail.ru;Кировская область, Киров, Ленина 162а;89229061186;315435000000000
ZALA AERO Ижевск;;zala.aero ;Авиационные заводы;;zapros@zala.aero;Удмуртская Республика, Ижевск, ул. 40 лет Победы, д. 118;+7 (3412)43-05-05 ;
ООО «Молоко»;;moloko.group ;Молочные заводы;7840006106;info@moloko.group;Российская Федерация, 243550, Брянская обл.,п. Белевица, ул. Октябрьская, д.60;89679683239;1037870000000
Феникс, ООО;771801001;dobriy-jar.ru ;Заводы металлоконструкций;5190047726;info@dobriy-jar.ru;Московская обл., г. Москва, ул. Краснобогатырская, д. 79;+7 (800)600-45-96 ;1155190000000
Волна, ООО;773101001;wyatboat.ru ;Заводы полимерных материалов и изделий;9731074526;wyatboat@yandex.ru;Кировская область, г. Сосновка, ул. Заводская, д. 34;7800661;1217700000000
Фармстандарт-УфаВИТА, ОАО;660850001;pharmstd.ru/ ;Фармацевтические фабрики;274036993;;Республика Башкортостан, г. Уфа, ул. Худайбердина, 28;+7 (347)272-92-85 ;1020200000000
Грейт Пак, ООО;770901001;www.greatpack.ru ;Заводы полимерных материалов и изделий;7731428732;info@greatpack.ru;Московская обл., г. Москва, Большая Калитниковская, д. 42;7495799;1127750000000
Murtfeldt Пластик Москва;;www.murtfeldt.ru/ ;Заводы полимерных материалов и изделий;;knelsen@murtfeldt.ru;Москва, ул. Дербеневская, 20, стр. 9;+49 (2 31)2 06 09 613-91 ;
Авико, ООО;332801001;www.aviko-palto.ru ;Швейные фабрики;3328440304;abikoltd@yandex.ru;Владимирская область, Владимир, мкр. РТС, д.1;+7 (4922)36-70-74 ;1053300000000
Кристалл, ООО ПКФ;780401001;www.crystall.ru ;Машиностроительные заводы;7804080520;mail@crystall.ru;Санкт-Петербург, Уманский пер., 76;+7 (812)333-04-34 ;1037810000000
Девять Линий, ООО;616701001;www.ninelines.ru ;Обувные фабрики;6168046052;matveev4@mail.ru;Ростовская область, Ростов-на-Дону, ул. 9-я Линия, 72.;+7 (916)936-12-20 ;1036170000000
Гранолайф, ООО;400101001;grano.life ;Производители бакалеи;7724396600;info@grano.life;Московская область, Москва, ул. Дербеневская, д. 9;+7 (495)7779012 ;1177750000000
ИП Плотников Д.К.;366201001;parogenerator-prom.ru ;Котельные заводы;3,66E+11;stranarossia@mail.ru;Орел, ул. Машиностроительная 6;79534772351;305366000000000
Пинго, ООО;402801001;www.pingo40.com/ ;Мясоперерабатывающие заводы;4028021495;;Калужская область, г. Калуга, Азаровская 21;79109124743;1024000000000
"ТПК ""Форматон"", ООО";344401001;www.formaton.ru ;Станкостроительные заводы;3444053465;psm-post@yandex.ru;Волгоградская обл., г. Волгоград, ул. Канунникова, д. 6/1, корпус 2, офис 101; (8442)26-02-56 ;1023400000000
"Чзбх ""Визирь Компани"", ООО";744801001;www.chzbh.ru ;Химические заводы;7448034774;abdrakhmanova@bk.ru;Челябинская область, Челябинск, ул. Чистопольская, д. 23;+7 (351)734-70-45 ;1027400000000
СМЗ, АО;504401001;;Механические заводы;5044000254;smz@aviaspas.ru;Московская область, Солнечногорск, ул. Набережная, 2;;1025010000000
Летучев Алексей Владимирович, ИП;;www.sonya-ekb.ru ;Швейные фабрики;6,67E+11;sonya-kosmos@mail.ru;Свердловская область, Екатеринбург, пр. Космонавтов, д. 54, 4 этаж;+7 (343)287-93-47 ;321666000000000
Компания ОВАК, ООО;540101001;www.ovak.ru ;Заводы полимерных материалов и изделий;5401116570;ovak.nsk@mail.ru;Новосибирская обл., г. Новосибирск, ул. Петухова, д. 51А, корпус 2;+7 (383)342-61-64 ;1025400000000
Экопак, ООО;771901001;;Заводы полимерных материалов и изделий;7719411926;info@gr-corp.ru;Москва, Большой Златоустинский пер., д. 2/8, стр. 1;8 (495)789-39-34 ;1157750000000
Мир, ООО;673101001;;Швейные фабрики;6731056673;mirsmolensk@rambler.ru;Смоленская область, Смоленск, Старомоскоская,д. 4;8- (4812)-24-48-21, 8 800 5000 611 (звонок по России бесплатный);1066730000000
"Бош Термотехника, ООО (ООО ""БОШ ТЕРМОТЕХНИКА"")";772401001;www.buderus.ru ;Котельные заводы;7724506852;bosch.hr@ru.bosch.com;Саратовская область, Энгельс, проспект Фридриха Энгельса, дом 139;+8 (800)200-02-03 ;1047800000000
"ПКФ ""Ивгофра"", ООО";370201001;ivgofra.ru ;Заводы полимерных материалов и изделий;3702183960;info@ivgofra.ru;Иваново, ул. 23-я Линия, 13, корпус 5;+7 (4932)24-54-00 ;1173700000000
"ГК ""Безко"", ООО";771501001;bezko.ru ;Швейные фабрики;5047163257;zakaz@bezko.ru;Московская обл., г. Москва, ул. Электрозаводская, д. 21;+7 (977)838-61-59 ;1145050000000
Чистый Город, ООО;504801001;chistyj-gorod.ru/ ;Заводы полимерных материалов и изделий;5048055462;paket-95@mail.ru;Чехов, ул. Литейная, д. 7;8 (925)768-58-89 ;1195080000000
Латона Москва;;Latona.pro ;Заводы металлоконструкций;;info@latona.pro;Московская обл., г. Москва, Калужское шоссе, д. 4, стр. 3, офис 4;7495064;
Сититекс, ООО;370601001;city-tex.ru ;Швейные фабрики;3706016382;sitytex@mail.ru;Ивановская область, г. Шуя, ул. 1-я Московская, д. 11;7909219;1093710000000
Тач Проф, ООО;501201001;sealit.ru ;Лакокрасочные заводы;5012099829;info@sealit.ru;Подольск, ул. Домодедовское шоссе, д. 10, пом.1;+7 (499)391-33-48 ;1195080000000
Дартс-СПб, ООО;781001001;;Целлюлозно-бумажные комбинаты;7806105121;order@kris-spb.ru;Ленинградская область, Санкт-Петербург, ул. Книпович, д. 15; (812)448-19-93 ;1027800000000
Чуенко Евгений Сергеевич, ИП;;www.rikotriko.ru ;Швейные фабрики;2,62E+11;zakaz@rikotex.ru;Ставропольский край, Ессентуки, Гагарина, 23;;307265000000000
Русконтейнер, ООО;504801001;roskonteyner.ru/ ;Заводы черных металлов;5048046764;roskonteyner.rf@yandex.ru;Московская область, Чеховской р-н, п. Любучаны, ул. Заводская, дом 16;+7 (925)801-11-33 ;1175070000000
Изофлекс М, ООО;771301001;izoflex.msk.ru/ ;Заводы строительных материалов;7733898229;izoplast@izoflex.msk.ru;Москва, Дмитровское ш., д. 46, к. 2;+7 (499)488-73-28 ;5147750000000
Биг Энерджи, ООО;470401001;big-energy.ru ;Производители снеков;4704087140;info@big-energy.ru;Выборг, ул. Данилова, 15, к. 11, офис 13;-1055;1114700000000
Майс, ООО;361001001;;Плодоовощные комбинаты;3610006680;vbrost@infobus.ru;Воронежская область, Калач, ул. К. Маркса, д. 18; (47363)27-4-32, 27-5-36, 44-3-81 ;1023600000000
СВС, ООО;773401001;ooosvs.ru ;Заводы металлоконструкций;1828009653;ooosvs@yandex.ru;Удмуртская респ., г. Воткинск, Объездное шоссе, д. 21;+7 (34145)5-55-51 ;1021800000000
СМЗ, АО;580501001;ao-smz.ru/ ;Заводы запчастей и компонентов;5805008450;smz@oat-group.ru;Пензенская область, г. Сердобск, ул. Вокзальная, д. 10;+7 (8412)76-71-26 ;1055800000000
Волгоцеммаш, ОАО;632401001;www.zavod-vcm.ru ;Машиностроительные заводы;6320001928;mail@zavod-vcm.ru;Самарская область, Тольятти, ул. Максима Горького, 96; (8482)602-230 ;1026300000000
ООО «АльянсКомпозит»;;alyanskompozit.ru ;Заводы строительных материалов;2463092490;armatura-ak@yandex.ru;660041, г. Красноярск, пр. Свободный, 64И;79993132044;1152470000000
СПСЗ, ООО;504201001;;Стекольные заводы;7705887088;info@glassfactory.ru;Московская область, с. Иудино, д.5; (495)223-07-01, 995-12-88, 995-12-89, (495)223-29-22 (доб. 20-67) (отдел кадров);1097750000000
Албес Мет, ООО;500301001;www.albes.ru ;Светотехнические заводы;7707827648;reception@albes.ru;Московская область, Видное, Южная промзона, вл. 7;7495875;1147750000000
Завод Газпромарм Саратов;;gazproarm.ru/ ;Машиностроительные заводы;;zakaz@gazproarm.ru;Саратовская область, Саратов, ул. Советская, д. 56;+7 (986)991-09-31 ;
Тельнов Павел Евгеньевич, ИП;;;Электромеханические заводы;6,45E+11;pavel@kb-i.ru;Саратовская область, Энгельс, Мясокомбинат, корпус 3;8 (929)777-66-00 ;315645000000000
ЛДСК Новосибирск;;ldsk.ru/ ;Заводы ЖБИ;;zakaz@ldsk.ru;Новосибирск, ул. Большевистская, 101;+7 (383)209-63-00 ;
Твоя Одежда, ООО;772001001;the-cave.ru/ ;Швейные фабрики;7720651129;client@the-cave.ru;Московская область, Москва, Партийный переулок, д. 1;79256098246;1217700000000
Полипром, ООО;522901001;poli-prom.ru ;Машиностроительные заводы;5229008263;poliprom.nn@yandex.ru;Нижегородская область, с. Кочко-Пожарки, ул. М.Горького, 32;+7 (83191)4-35-91 ;1095230000000
Московский Трубопрокатный Завод, ООО;773301001;www.megastal.ru ;Трубные заводы;7716811411;megastall@mail.ru;Московская область, Мытищи, Ярославский проезд, вл. 5;+7 (495)470-70-70 ;5157750000000
СИМ Пласт, ООО;910201001;smplast.ru/index.html ;Заводы полимерных материалов и изделий;9102039860;info@smplast.ru;Республика Крым, Симферополь, ул. Бородина, д. 12;+7 (918)996-02-09 ;1149100000000
Кибер Зона, ООО;783901001;;Электромеханические заводы;7839441714;marketing@cyberzone.su;Ленинградская область, Санкт-Петербург, Набережная Обводного Канала, д. 88;8 (911)930-53-73 ;1117850000000
Deriya Москва;;;Мебельные фабрики;;ya1806@yandex.ru;Московская область, Москва, Нахимовский пр., д. 24, к. 1, офис 21;8 (921)906-51-61 ;
"ООО ""Юрма""";;yur-ma.ru ;Трубные заводы;6162025289;yurma-161@yandex.ru;Ростовская область, р-н Мясниковский с.Чалтырь, Промзона-1, №1;+7 (928)279-74-58 ;1026100000000
Карчикян Иветта Эдуардовна, ИП;;;Деревообрабатывающие комбинаты;1,21E+11;maximus13k@rambler.ru;Республика Марий Эл, Йошкар-Ола, ул. Кирпичная, д. 1;8987702-08-29, 8937119-17-67 ;309122000000000
НТКРЗ, НАО;662301001;;Котельные заводы;6667001963;sale@ntkrz.com;Свердловская область, Нижний Тагил, Восточное шоссе, 22;;1026600000000
"ГК ПКФ ""Тандем"", ООО";668601001;www.pkf-tandem.com/ ;Метизные заводы;6686039088;pkf-tandem@mail.ru;Екатеринбург, ул. Фронтовых Бригад, д. 15, стр. 28, оф. 39;+7 (343)200-23-17 ;1136690000000
Казаньгидропласт, ООО;163301001;www.kazgp.ru ;Заводы полимерных материалов и изделий;1633007809;kazgp@mail.ru;Республика Татарстан, Казань, ул. Карла Маркса, д. 56/11, оф. 18;7800152;1181690000000
Текс-Опт, ООО;370201001;;Швейные фабрики;3702159076;teksopt@yandex.ru;Ивановская область, Иваново, ул. Суздальская, д. 16;79092484463;1163700000000
Северсталь, ПАО;997550001;www.severstal.ru/ ;Заводы черных металлов;3528000597;severstal@severstal.com;Череповец, ул. Мира, 30;+7 (8202)530900 ;1023500000000
Новицкая Марина Вацлавовна, ИП;;;Швейные фабрики;5,40E+11;tards@mail.ru;Новосибирская область, Новосибирск, Сухарная, 35;88007753507;316548000000000
Лазерный Центр, ООО;780601001;www.newlaser.ru/ ;Станкостроительные заводы;7804177025;infos@newlaser.ru;"195067 Санкт-Петербург, ул. Маршала Тухачевского, д. 22, БЦ ""Сова"", оф. оф. 228-231";8-800-5555-620 ;1047810000000
"ТД ""Дивинка"", ООО";543301001;www.divinka.ru ;Производители бакалеи;5406557521;divinka@sovel-trade.ru;Новосибирская область, с. Хабары, ул. Лермонтова, 64;7383316;1095410000000
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЛАДПРОМ""";637601001;sladkodar.ru/ ;Кондитерские фабрики;6376027773;;Самара, пр. Кирова 387;+7 (846) 972-01-71 ;1186310000000
Таганский Мясокомбинат, АО;772201001;tamp.ru/ ;Мясоперерабатывающие заводы;7722780930;Info@tamp.ru;Москва, пр-д Автомобильный, 8;+7 (495)786-97-57 ;1127750000000
КЗСМИ, ООО;502401001;www.kzsmi.ru ;Инструментальные заводы;3436011239;kamtools@kzsmi.ru;Волгоградская область, Камышин, Промышленная зона;+7 (84457)5-70-00 ;1023400000000
Эльф Филлинг, АО;503101001;elf-filling.ru ;Химические заводы;5031042730;stm@elf-filling.ru;Московская область, Электроугли, Банный пер., дом 9;+7 (495)737-38-42 ;1035010000000
Амз-2015, ООО;232501001;www.amzv.ru/ ;Машиностроительные заводы;2325023935;az-lesselmash@list.ru;Краснодарский край, г. Апшеронск, ул. Королева, д. 122;+7 (86152)2-74-20 ;1152370000000
Кубаньлесстрой, ООО;231201001;liel.ru ;Мебельные фабрики;2312068424;lielinfo@yandex.ru;Краснодарский край, Краснодар, ул. Уральская, д. 116/4;8 (800)500-25-70, 8 (861)231-66-58, 8 (861)231-72-86 ;1032310000000
Сельхозтара Краснодар;;;Заводы полимерных материалов и изделий;;darin_unipak@mail.ru;Краснодарский край, г. Краснодар, ул. Российская, д. 315/1а;;
Стародворские Колбасы, ЗАО;332801001;abiproduct.ru ;Мясоперерабатывающие заводы;3328426780;info@abi.ru;Владимирская область, Владимир, ул. Полины Осипенко, д. 41;+7 (4922)52-99-99 ;1033300000000
ООО «Кварцверке Ульяновск»;;qw-russia.ru ;Обогатительные комбинаты (ГОК);7316005657;sand@qw-russia.ru;432049 Российская Федерация, Ульяновская область, г.Ульяновск,ул. Азовская, д. 82А ;8 (8422)75-90-22 ;1037300000000
Кумское, АО;262401001;kumskoe.agroserver.ru ;Мукомольные заводы;2624000245;kumskoe2012@yandex.ru;Ставропольский край, Буденновск, проезд Тампонажный, 16;8 (86559)5-51-41, 5-51-42 ;1022600000000
Звездное Детство, ООО;540101001;kidstar.su ;Мебельные фабрики;5401356740;sale@kidstar.su;Новосибирская область, Новосибирск, ул. Гоголя, д. 204Б;+7 (383)383-26-06 ;1125480000000
Витерра, ООО;540301001;witerra.ru ;Химические заводы;5404428672;operator1@witerra.ru;Новосибирская обл., г. Новосибирск, ул. Петухова, д. 69;-1585;1115480000000
Акопян Сильва Михаеловна, ИП;;jolly-baby.ru ;Швейные фабрики;7,73E+11;info@jolly-baby.ru;Московская область, Котельники, Дзержинское шоссе, дом 1;+7 (499)130-20-54 ;304770000000000
Отэкс, ООО;771701001;www.bentex.su ;Цементные заводы;7726697754;info@bentex.su;Московская обл., г. Москва, Звёздный бульвар, д. 21, стр. 1;+7 (495)786-85-58 ;1127750000000
"Фирма ""Биокор"", ООО";583601001;biokor.ru ;Масложировые комбинаты;5834013493;info@biokor.ru;Пензенская область, Пенза, ул. Лермонтова, 3;+8 (800)2000-270 ;1025800000000
Чупинет, ООО;560901001;;Швейные фабрики;5638066900;orencloses@yandex.ru;Оренбургская область, Оренбург, Шарлыкское ш., д. 1;8 (3532)46-88-80 ;1155660000000
Магия нежности Иваново;;;Швейные фабрики;;YULYA.DOBRODEEVA@MAIL.RU;Ивановская область, Иваново, ул. Люлина, 2-а; (4932)57-49-27, 8-920-341-72-44 ;
ст-Пластик, ООО;400301001;stplastik.com ;Заводы полимерных материалов и изделий;4003026364;packetik@yandex.ru;Калужская область, д. Маланьино;7484373;1074030000000
"Холдинговая Компания ""АК Барс"", АО";165701001;www.abh.ru/index.php ;Фермерские хозяйства;1657049075;abh@abh.ru;Казань, ул. Короленко, 58 а;+7 843 511 45 45 ;1041630000000
Личков Сергей Рудольфович, ИП;;chpu36.ru ;Станкостроительные заводы;2,90E+11;info@chpu36.ru;Воронеж, с. Ямное, ул. Ольховая 17а/2-2;8 800 770-70-36 ;319367000000000
Щелковский завод ВДМ, АО;505001001;zavodvdm.ru/ ;Заводы цветных металлов;5050042936;nfo@zavodvdm.ru;Московская область, г. Щелково, ул. Заречная, д. 103А;+7 (496)566-46-43 ;1035010000000
"ООО ""Бетон Строй"" ";;betonzavodzvenigorod.ru ;Заводы строительных материалов;5032316221;info@betonzavodzvenigorod.ru;Звенигород, пер. Чайковского, вл5;+7 (499)112-45-32 ;1205000000000
Обувная фабрика Альпинист (Альпинист) Санкт-Петербург;;www.alpine1988.ru ;Обувные фабрики;;alpine1988@mail.ru;Санкт-Петербург, Альпийский пер., 30;+7 (812)448-14-66 ;
Гранд Холдинг УРАЛ, ООО;667901001;;Медицинские заводы;6679126572;m1grandholding@gmail.com;Свердловская обл., г. Полевской, ул. Трубников, д. 4/1;+7 (909)003-46-96 ;1196660000000
Алмаз, ООО;616701001;www.rutens.ru ;Светотехнические заводы;6167136190;tens@rutens.ru;Ростовская обл., г. Новочеркасск, ул. Кривошлыкова, д. 4А, офис 113;+7 (495)5454847 ;1166200000000
"ПКФ ""Игрушки"", ЗАО";366501001;www.pkfigrushki.ru ;Фабрики игрушек;3665004610;zaopkf@gmail.com;Воронежская область, Воронеж, ул. Пеше-Cтрелецкая, 74а; (473)263-71-59 ;1023600000000
Андреедмитриевский Щебзавод, ООО;233901001;www.tdtnp.ru ;Комбинаты нерудных материалов;2339013052;ashz123@mail.ru;Краснодарский край, Курганинский р-н, п. Щебенозаводской, ул. Заводская, 1Г; (86147)7-98-22,(86147)7-90-01 (коммерческий отдел);1022300000000
Ильма, ООО;781401001;www.ilma-sealing.com ;Заводы металлоконструкций;7814306738;ilma@ilma-sealing.com;Ленинградская область, Санкт-Петербург, Коломяжский пр., д. 10, лит. И;+7 (812)326-60-18 ;1047860000000
Кобор Трейд, ООО;770301001;www.kobor.ru ;Машиностроительные заводы;9703008747;info@kobor.ru;Владимирская область, Владимир, ул. Северная, д. 112, оф. 78;7800342;1207700000000
"Группа Компаний ""ВЛП"", АО";352501001;www.volwood.ru ;Деревообрабатывающие комбинаты;3525268892;info@volwood.ru;Вологодская область, Вологда, ул. Зосимовская, д. 107;+7 (8172)59-74-75 ;1113530000000
Чупрунов Алексей Александрович, ИП;;www.funny-baby.ru ;Швейные фабрики;7,73E+11;funnybaby@inbox.ru;Московская область, Москва, ул. Вилиса Лациса, 27;7556186;318775000000000
Знз, ООО;740401001;;Машиностроительные заводы;7404073720;snabsd@bk.ru;Челябинская обл., г. Златоуст, ул. Некрасова, д. 10;89193440954;1217400000000
Вяткатехнотекстиль, ООО;772101001;kirtehnotkan.ru ;Текстильные фабрики;7722831663;vttkan@mail.ru;Кировская обл., г. Киров, ул. Труда, д. 71;+7 (495)118-04-05 ;1147750000000
Рифей, ООО;667901001;www.esintez.ru ;Химические заводы;6679041199;3890045@mail.ru;Свердловская область, Екатеринбург, Новинская, 1;+7 (343)310-22-23 ;1136680000000
Лукес-д, ООО;501201001;;Мясоперерабатывающие заводы;7726297925;info@fermach.com;Московская область, с. Новый Милет, строение 1;8 (495)522-3708 ;1037740000000
ИП Лопырев Дмитрий Михайлович;;stoleshnicypro.ru ;Камнеобрабатывающие мастерские;7,71E+11;info@masonik.ru;Москва(Москва и область);+7 (903) 616-99-04 ;307770000000000
"МПК АПХ ""Кудиново"", ООО";503101001;bezfartuka.ru ;Мясоперерабатывающие заводы;5031049213;info@bezfartuka.ru;Московская область, с. Кудиново, Мясоперерабатывающий комплекс;+7 (495)7029643 ;1025000000000
Текспрофи, ООО;370201001;;Текстильные фабрики;3702114519;opt@podushka.net;Ивановская область, Иваново, пр-д Сосневский, д. 1б;79308853164;1153700000000
"ООО ""ИПРо""";;ipro-gsm.ru ;Заводы радиоаппаратуры;6230067473;g.arna@ipro-gsm.ru;390000, Рязанская обл, Рязань г., Соборная ул, дом 15 лит.А, помещение H3;8 (804)333-90-80 ;1096230000000
Мастерская игрушек Movester Санкт-Петербург;;;Деревообрабатывающие комбинаты;;info@movester.ru;Ленинградская область, Санкт-Петербург, Мошков пер., дом 2, этаж 2;79110961494;
Нтмиз, АО;662301001;www.нтмиз.рф ;Медицинские заводы;6668007380;sale.ntmiz@mail.ru;Свердловская область, Нижний Тагил, ул. Ломоносова, 49; (3435)40-11-56 ;1026600000000
РЭМЗ, ООО;615501001;remzltd.com/ ;Заводы черных металлов;6155054289;remz@remzltd.com;Ростовская область, г. Шахты, ул. Чаплыгина, 54;+7 (863)333-97-81 ;1046160000000
ТД Каприз, ООО;450101001;www.kapriz45.ru/ ;Кондитерские фабрики;4501185864;kf_kapriz@mail.ru;Курган, ул. Конституции, 7, 10;+7 (3522)44-99-26 ;1134500000000
Великолукский Завод Лесхозмаш, АО;602501001;leshozmash.ru ;Машиностроительные заводы;6025000518;sales@leshozmash.ru;Псковская обл., г. Великие Луки, ул. Новослободская, д. 54;7911246;1026000000000
Деймон Гранд, ООО;771601001;stroybloki.ukit.me ;Заводы строительных материалов;7716805016;keramzit.blok.chehov@mail.ru;Московская область, Чехов, Сенная, д. 1;89264040036;1157750000000
Абаканская Фабрика-Кухня;;af-k.ru ;Консервные заводы;;kapusta@af-k.ru;Республика Хакасия, Абакан, Промышленная улица, д. 7;7391884;
ИФХАН-УРАЛ, ООО;770701001;ifkhanural.vsite.biz/#home ;Лакокрасочные заводы;6671455286;ifhan.ural@gmail.com;Московская область, Москва, Бутырский Вал, 68/70, стр. 1, оф. 31;7343176;1146670000000
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИНТЕП""";;rintep.ru ;Машиностроительные заводы;3328031090;rintepcompany@yandex.ru;Владимир, ул. Мира, 15В;89101816767;1233300000000
ТД Загар, ООО;771301001;www.fire-sun.ru ;Машиностроительные заводы;7733309392;info@fire-sun.ru;Московская область, Москва, Волоколамское шоссе, д. 65А;+7 (800)1007838 ;5167750000000
Мармеладная Сказка, ООО;693101001;skazkakf.narod.ru ;Кондитерские фабрики;6931009423;skazkakf@mail.ru;Тверская область, п. Лочкино, д. Зд, к. 2;;1116920000000
Акопян Мамикон Артушович, ИП;;;Обувные фабрики;3,70E+11;altromondo2@mail.ru;Московская область, Москва, ул. Большая Семеновская, д 11, стр. 3.; (495)984-27-01 ;321370000000000
